,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Categories,Outlet_Age,Item_MRP_Categories
0,9.3,0,0.016047301,249.8092,9,1,0,1,3735.138,1,15,1
1,5.92,1,0.019278216,48.2692,3,1,2,2,443.4228,0,5,0
2,17.5,0,0.016760075,141.618,9,1,0,1,2097.27,1,15,3
3,19.2,1,0.0,182.095,0,2,2,0,732.38,1,16,3
4,8.93,0,0.0,53.8614,1,0,2,1,994.7052,2,27,0
5,10.395,1,0.0,51.4008,3,1,2,2,556.6088,1,5,0
6,13.65,1,0.012741089,57.6588,1,0,2,1,343.5528,1,27,0
7,12.987879554655873,0,0.127469857,107.7622,5,1,2,3,4022.7636,1,29,2
8,16.2,1,0.016687114,96.9726,7,2,1,1,1076.5986,1,12,2
9,19.2,1,0.09444959,187.8214,2,2,1,1,4710.535,1,7,3
10,11.8,0,0.0,45.5402,9,1,0,1,1516.0266,1,15,0
11,18.5,1,0.045463773,144.1102,8,2,0,1,2187.153,1,17,3
12,15.1,1,0.1000135,145.4786,9,1,0,1,1589.2646,1,15,3
13,17.6,1,0.047257328,119.6782,8,2,0,1,2145.2076,1,17,2
14,16.35,0,0.0680243,196.4426,1,0,2,1,1977.426,1,27,3
15,9.0,1,0.069088961,56.3614,8,2,0,1,1547.3192,1,17,0
16,11.8,0,0.008596051,115.3492,3,1,2,2,1621.8888,2,5,2
17,9.0,1,0.069196376,54.3614,9,1,0,1,718.3982,1,15,0
18,11.40032786885246,0,0.034237682,113.2834,5,1,2,3,2303.668,0,29,2
19,13.35,0,0.10249212,230.5352,6,2,1,1,2748.4224,1,10,1
20,18.85,1,0.138190277,250.8724,1,0,2,1,3775.086,1,27,1
21,12.277108208955225,1,0.035399923,144.5444,5,1,2,3,4064.0432,1,29,3
22,14.6,0,0.025698134,196.5084,6,2,1,1,1587.2672,2,10,3
23,12.277108208955225,0,0.057556998,107.6938,4,2,0,0,214.3876,1,29,2
24,13.85,1,0.025896485,165.021,8,2,0,1,4078.025,1,17,3
25,13.0,0,0.099887103,45.906,2,2,1,1,838.908,2,7,0
26,7.645,1,0.066693437,42.3112,6,2,1,1,1065.28,1,10,0
27,11.65,0,0.019356132,39.1164,1,0,2,1,308.9312,0,27,0
28,5.925,1,0.161466534,45.5086,0,2,2,0,178.4344,1,16,0
29,12.305705009276435,1,0.072221801,43.6454,4,2,0,0,125.8362,1,29,0
30,19.25,0,0.170348551,55.7956,0,2,2,0,163.7868,1,16,0
31,18.6,0,0.080829372,96.4436,3,1,2,2,2741.7644,2,5,2
32,18.7,0,0.0,256.6672,3,1,2,2,3068.0064,1,5,1
33,17.85,0,0.0,93.1436,7,2,1,1,2174.5028,1,12,2
34,17.5,0,0.097904029,174.8738,8,2,0,1,2085.2856,0,17,3
35,10.0,0,0.089291137,146.7102,9,1,0,1,3791.0652,2,15,3
36,13.224769381746812,1,0.059511812,128.0678,5,1,2,3,2797.6916,1,29,2
37,8.85,1,0.113123893,122.5388,3,1,2,2,1609.9044,0,5,2
38,12.987879554655873,1,0.123111453,36.9874,5,1,2,3,388.1614,1,29,0
39,12.987879554655873,0,0.026480954,87.6198,5,1,2,3,2180.495,1,29,2
40,13.35,0,0.102511504,230.6352,8,2,0,1,3435.528,1,17,1
41,9.8,0,0.02681843,126.002,1,0,2,1,2150.534,1,27,2
42,13.6,0,0.117818348,192.9136,9,1,0,1,2527.3768,1,15,3
43,21.35,0,0.069102831,259.9278,3,1,2,2,6768.5228,1,5,1
44,12.15,1,0.042277867,126.5046,1,0,2,1,373.5138,1,27,2
45,6.42,0,0.089498926,178.1002,0,2,2,0,358.2004,1,16,3
46,19.6,0,0.0,153.3024,7,2,1,1,2428.8384,2,12,3
47,10.0,0,0.025879577,265.2226,7,2,1,1,5815.0972,1,12,1
48,15.85,1,0.121632721,60.622,8,2,0,1,2576.646,1,17,0
49,13.42606890459364,1,0.255394896,196.8794,4,2,0,0,780.3176,1,29,3
50,7.39,0,0.067779712,143.8812,8,2,0,1,3134.5864,2,17,3
51,10.195,0,0.159803853,141.5154,1,0,2,1,850.8924,1,27,3
52,9.895,1,0.028696932,117.0492,1,0,2,1,810.9444,1,27,2
53,10.895,0,0.065041581,196.3794,2,2,1,1,3121.2704,1,7,3
54,12.15,0,0.028760013,151.4708,2,2,1,1,4815.0656,2,7,3
55,7.905,0,0.010053105,249.0408,3,1,2,2,6258.52,1,5,1
56,9.195,0,0.048157338,106.1622,7,2,1,1,2117.244,2,12,2
57,8.365,0,0.071958197,38.0506,9,1,0,1,796.9626,0,15,0
58,15.1,0,0.173481304,194.511,8,2,0,1,4910.275,1,17,3
59,12.305705009276435,0,0.061082177,180.0344,4,2,0,0,892.172,1,29,3
60,10.0,0,0.0,246.9144,3,1,2,2,3185.1872,1,5,1
61,7.97,1,0.040071131,87.3514,7,2,1,1,1062.6168,1,12,2
62,13.224769381746812,0,0.012090074,38.2848,5,1,2,3,484.7024,1,29,0
63,12.867061281337046,1,0.15028599,51.0692,4,2,0,0,147.8076,1,29,0
64,12.987879554655873,0,0.026015519,255.8356,5,1,2,3,2543.356,1,29,1
65,17.7,0,0.195068226,185.4266,0,2,2,0,184.4266,1,16,3
66,19.35,0,0.033082215,172.5738,6,2,1,1,4865.6664,1,10,3
67,13.65,1,0.078946455,186.024,7,2,1,1,1118.544,1,12,3
68,17.6,0,0.041700756,164.8526,7,2,1,1,2302.3364,0,12,3
69,8.645,0,0.143422643,95.841,8,2,0,1,2027.361,2,17,2
70,15.6,1,0.105296072,170.1764,8,2,0,1,3435.528,1,17,3
71,15.85,1,0.121531501,59.222,1,0,2,1,599.22,1,27,0
72,18.25,0,0.0,164.7526,7,2,1,1,4604.6728,1,12,3
73,7.855,0,0.011324862,189.6188,2,2,1,1,2285.0256,1,7,3
74,7.825,0,0.186357148,254.3698,9,1,0,1,5580.7356,2,15,1
75,8.39,1,0.024205661,114.0176,8,2,0,1,2290.352,1,17,2
76,12.85,0,0.033230816,172.3422,9,1,0,1,1207.0954,1,15,3
77,12.277108208955225,0,0.113720344,89.9804,4,2,0,0,643.1628,1,29,2
78,19.0,0,0.112556507,104.9622,2,2,1,1,1587.933,1,7,2
79,5.905,0,0.0,222.5456,7,2,1,1,5305.0944,1,12,1
80,7.76,0,0.059352241,101.87,8,2,0,1,1697.79,1,17,2
81,11.8,1,0.014087057,180.3344,8,2,0,1,1427.4752,1,17,3
82,16.75,0,0.045230944,187.9556,3,1,2,2,4693.89,1,5,3
83,13.384736495388667,0,0.293417759,194.6136,4,2,0,0,583.2408,2,29,3
84,12.277108208955225,1,0.031382044,171.3764,5,1,2,3,3091.9752,1,29,3
85,15.5,1,0.12639886,177.0028,2,2,1,1,2479.4392,1,7,3
86,6.055,0,0.025403898,160.992,6,2,1,1,2716.464,1,10,3
87,12.768202247191011,1,0.039057677,155.963,5,1,2,3,3285.723,1,29,3
88,6.305,1,0.123115764,95.6436,8,2,0,1,661.8052,1,17,2
89,20.85,0,0.039624006,117.2808,9,1,0,1,1523.3504,1,15,2
90,20.75,0,0.040421193,122.173,0,2,2,0,369.519,1,16,2
91,8.895,0,0.105274111,39.9138,9,1,0,1,690.4346,0,15,0
92,19.6,0,0.033970195,55.1614,7,2,1,1,1381.535,0,12,0
93,19.7,0,0.053212652,57.893,6,2,1,1,622.523,1,10,0
94,9.8,0,0.024378706,114.5492,6,2,1,1,1274.3412,2,10,2
95,12.867061281337046,0,0.009714595,120.0414,4,2,0,0,487.3656,1,29,2
96,12.15,0,0.131383762,246.046,9,1,0,1,1231.73,1,15,1
97,8.75,1,0.07461309,187.4556,6,2,1,1,3755.112,1,10,3
98,13.384736495388667,0,0.028459761,149.9708,5,1,2,3,4363.6532,2,29,3
99,8.75,1,0.074627201,187.8556,8,2,0,1,1314.2892,1,17,3
100,13.3,0,0.063695084,151.0708,7,2,1,1,1805.6496,1,12,3
101,12.987879554655873,1,0.045797829,178.5344,5,1,2,3,2854.9504,1,29,3
102,8.31,1,0.115857223,179.1028,9,1,0,1,3896.2616,1,15,3
103,16.75,1,0.024832806,38.7822,1,0,2,1,667.7974,0,27,0
104,19.75,0,0.034027909,212.0902,3,1,2,2,3185.853,1,5,1
105,17.1,1,0.0467696,141.1838,1,0,2,1,2247.7408,1,27,3
106,10.5,1,0.116576702,163.121,1,0,2,1,1794.331,1,27,3
107,6.635,1,0.0,121.3098,7,2,1,1,2530.7058,1,12,2
108,11.847459893048129,0,0.278974075,225.372,4,2,0,0,679.116,0,29,1
109,14.15,0,0.035913805,41.4138,1,0,2,1,812.276,0,27,0
110,13.3,0,0.079806266,232.53,8,2,0,1,699.09,1,17,1
111,8.89,0,0.005505481,102.4016,2,2,1,1,2732.4432,1,7,2
112,12.81734421364985,1,0.064625342,176.937,4,2,0,0,176.437,1,29,3
113,12.987879554655873,0,0.071636937,121.7098,5,1,2,3,4097.3332,1,29,2
114,9.1,1,0.0,173.2054,7,2,1,1,3151.8972,1,12,3
115,7.5,0,0.032677678,239.0906,9,1,0,1,5942.265,1,15,1
116,16.85,1,0.160760054,192.4478,2,2,1,1,4843.695,1,7,3
117,7.485,0,0.06911065,109.0228,6,2,1,1,2542.0244,1,10,2
118,11.6,0,0.041177505,140.3154,2,2,1,1,2552.6772,0,7,3
119,11.65,0,0.040081193,227.0694,3,1,2,2,1141.847,1,5,1
120,13.0,0,0.035307322,47.5034,2,2,1,1,680.4476,2,7,0
121,12.65,0,0.063017847,159.0578,7,2,1,1,2085.9514,0,12,3
122,20.25,1,0.171938781,92.512,0,2,2,0,186.424,1,16,2
123,8.6,1,0.040197932,190.153,6,2,1,1,3036.048,1,10,3
